anchor,gz,choch,react,fvg,n,expR,t
choch_bos,0.618-0.705,close,close,True,97,-0.1958762886597938,-1.444282384812045
choch_bos,0.618-0.705,close,close,False,304,-0.08515406351800327,-1.0767822413446448
choch_bos,0.618-0.705,close,engulf,True,56,0.07142857142857142,0.36851386559504445
choch_bos,0.618-0.705,close,engulf,False,265,-0.11803901611461268,-1.414674860281719
choch_bos,0.618-0.705,wick,close,True,134,-0.21641791044776118,-1.8938733995236112
choch_bos,0.618-0.705,wick,close,False,431,-0.17375135802661945,-2.6951513657522903
choch_bos,0.618-0.705,wick,engulf,True,69,-0.08695652173913043,-0.5194624816493197
choch_bos,0.618-0.705,wick,engulf,False,369,-0.1796215156378655,-2.5925114654209604
choch_bos,0.618-0.786,close,close,True,97,-0.1958762886597938,-1.444282384812045
choch_bos,0.618-0.786,close,close,False,304,-0.08515406351800327,-1.0767822413446448
choch_bos,0.618-0.786,close,engulf,True,56,0.07142857142857142,0.36851386559504445
choch_bos,0.618-0.786,close,engulf,False,265,-0.11803901611461268,-1.414674860281719
choch_bos,0.618-0.786,wick,close,True,134,-0.21641791044776118,-1.8938733995236112
choch_bos,0.618-0.786,wick,close,False,430,-0.1718298495569139,-2.660336465771109
choch_bos,0.618-0.786,wick,engulf,True,69,-0.08695652173913043,-0.5194624816493197
choch_bos,0.618-0.786,wick,engulf,False,368,-0.17739222627818577,-2.554710463829331
choch_bos,0.500-0.786,close,close,True,102,-0.11764705882352941,-0.8649555758234917
choch_bos,0.500-0.786,close,close,False,335,-0.008617418834247733,-0.1119273288001182
choch_bos,0.500-0.786,close,engulf,True,58,0.13793103448275862,0.7153911599848799
choch_bos,0.500-0.786,close,engulf,False,290,-0.038897721621973656,-0.4757231231427374
choch_bos,0.500-0.786,wick,close,True,145,-0.1103448275862069,-0.966374942222618
choch_bos,0.500-0.786,wick,close,False,471,-0.05920771827913587,-0.924159795827215
choch_bos,0.500-0.786,wick,engulf,True,73,0.1095890410958904,0.6420578831241023
choch_bos,0.500-0.786,wick,engulf,False,399,-0.060852980627499643,-0.8771692776451863
impulse20,0.618-0.705,close,close,True,94,-0.1702127659574468,-1.223204504952113
impulse20,0.618-0.705,close,close,False,307,-0.025690017294700294,-0.3209017706109526
impulse20,0.618-0.705,close,engulf,True,53,0.18867924528301888,0.9272477337736447
impulse20,0.618-0.705,close,engulf,False,261,-0.06666221200275206,-0.7786759743755393
impulse20,0.618-0.705,wick,close,True,123,-0.2682926829268293,-2.3002259511889904
