n,expR,tstat,pf,win,totR,maxDD,symbol,strategy,buyhold_pct
1758,0.001166386184823274,0.03524178395046385,1.0017953089549652,34.41410693970421,2.0505069129193156,-78.0684460000709,EURUSD,naive_trend,-1.5715024705232006
1246,0.0036665555985587292,0.09440393214671032,1.0057598012780582,35.47351524879615,4.5685282758041765,-61.76889669434455,EURUSD,naive_meanrev,-1.5715024705232006
1845,-0.02738691414026743,-0.8533915677898392,0.9584427106900725,33.49593495934959,-50.52885658879341,-99.84612737841837,GBPUSD,naive_trend,-3.6394189646428377
1346,0.009357097870568902,0.2476522621741673,1.0145306722623104,34.992570579494796,12.59465373378574,-46.495287463459206,GBPUSD,naive_meanrev,-3.6394189646428377
2043,-0.05867049172007334,-1.9292934599097757,0.9131119206975902,32.158590308370044,-119.86381458410983,-159.76794771248282,AUDUSD,naive_trend,-2.827980014275522
1312,0.014209177980231526,0.3713006519283699,1.0221935758755605,35.0609756097561,18.64244151006376,-39.80254452922908,AUDUSD,naive_meanrev,-2.827980014275522
2026,-0.05863674376255317,-1.919890792370322,0.9131020442969866,31.934846989141164,-118.79804286293273,-153.61835594160323,NZDUSD,naive_trend,-6.024813305167964
1277,0.011258532433348647,0.28971786854611004,1.0174580087539014,35.0822239624119,14.377145917386223,-36.74951392712656,NZDUSD,naive_meanrev,-6.024813305167964
1865,-0.0731191246997199,-2.321461495615584,0.8915091119644941,31.796246648793566,-136.36716756497762,-156.9825259785214,USDCAD,naive_trend,2.0019711716151134
1275,0.008608318358825444,0.22308058558752789,1.013473358252439,34.90196078431372,10.975605907502441,-46.276408605237116,USDCAD,naive_meanrev,2.0019711716151134
1931,0.03568859415489113,1.1146688042820725,1.0555242432386094,35.2667011910927,68.91467531309478,-43.55305120741524,USDJPY,naive_trend,29.681478279265285
1288,-0.0702647674855411,-1.877178149938856,0.8941776759612864,32.68633540372671,-90.50102052137693,-95.47357386671331,USDJPY,naive_meanrev,29.681478279265285
1942,0.024972422789913122,0.7844250958276845,1.0386994080818879,34.860968074150364,48.49644505801128,-45.606526493782994,EURJPY,naive_trend,27.679296512915585
1270,-0.03160611230992595,-0.8297541780307773,0.9513010149404398,34.09448818897638,-40.139762633605955,-52.12831682933764,EURJPY,naive_meanrev,27.679296512915585
1926,0.04578851020937511,1.4306812512112603,1.0720798934497915,35.7736240913811,88.18867066325646,-28.04406029837424,GBPJPY,naive_trend,24.987641599420705
1306,-0.08519439026815384,-2.3060523312859353,0.8720305427909257,32.388973966309344,-111.26387369020891,-127.50002312881128,GBPJPY,naive_meanrev,24.987641599420705
1676,0.048221703582002534,1.4112966155849922,1.0765351625254633,36.217183770883054,80.81957520343624,-32.83198057645777,XAUUSD,naive_trend,35.74262572295224
1169,-0.056994682799445445,-1.4516715265499633,0.91283923879535,33.361847733105215,-66.62678419255172,-75.36675015739249,XAUUSD,naive_meanrev,35.74262572295224
1567,-0.10584409774943072,-3.1432248597471975,0.8437587198812057,31.333758774728782,-165.85770117335795,-200.2689112545211,XAGUSD,naive_trend,33.271698324648405
1102,-0.10450752877084886,-2.647878763275587,0.8419865175172101,32.21415607985481,-115.16729670547544,-128.03999947803203,XAGUSD,naive_meanrev,33.271698324648405
1672,-0.1344253549988629,-4.140732452846572,0.8056298270236172,29.964114832535884,-224.7591935580988,-246.48173666816396,US30,naive_trend,31.75459136421619
1196,-0.09895906621154389,-2.577747345487703,0.8521105106210255,32.10702341137124,-118.3550431890065,-127.08943650388805,US30,naive_meanrev,31.75459136421619
