symbol,rows,columns,first_ts,last_ts,span_days,dup_rows,dup_timestamps,monotonic,modal_gap_sec,pct_bars_at_modal_gap,n_gaps,max_gap_hours,n_weekend_gaps,n_intraweek_gaps,ohlc_violations,bad_high,bad_low,bad_highlow,nonpositive_px,nan_count,inf_count,zero_range_bars,zero_volume_bars,max_identical_close_run,digits,point_size,px_first,px_last,spread_median_pts,spread_p95_pts,spread_max_pts,spread_zero_pct,hours_present,peak_volume_hour,bars_per_day_median,trading_days,status
AUDUSD,82178,"['time', 'open', 'high', 'low', 'close', 'volume', 'spread', 'day_of_week']",2020-01-02 06:00:00,2026-08-11 20:00:00,2413,0,0,True,1800,99.56,363,75.5,345,18,0,0,0,0,0,0,0,2,0,2,5,1e-05,0.7005,0.70583,3.0,18.0,218.0,23.46,24,17,48.0,1719,PASS
EURJPY,82178,"['time', 'open', 'high', 'low', 'close', 'volume', 'spread', 'day_of_week']",2020-01-02 06:00:00,2026-08-11 20:00:00,2413,0,0,True,1800,99.56,363,75.0,345,18,0,0,0,0,0,0,0,3,0,2,3,0.001,121.907,183.797,5.0,22.0,525.0,17.42,24,17,48.0,1718,PASS
EURUSD,82169,"['time', 'open', 'high', 'low', 'close', 'volume', 'spread', 'day_of_week']",2020-01-02 06:00:00,2026-08-11 16:00:00,2413,0,0,True,1800,99.56,363,75.5,345,18,0,0,0,0,0,0,0,3,0,2,5,1e-05,1.12122,1.15415,0.0,8.0,112.0,56.75,24,17,48.0,1718,PASS
GBPJPY,82172,"['time', 'open', 'high', 'low', 'close', 'volume', 'spread', 'day_of_week']",2020-01-02 06:00:00,2026-08-11 20:00:00,2413,0,0,True,1800,99.56,363,75.5,345,18,0,0,0,0,0,0,0,1,0,2,3,0.001,143.627,215.081,7.0,42.0,518.0,16.21,24,17,48.0,1717,PASS
GBPUSD,82175,"['time', 'open', 'high', 'low', 'close', 'volume', 'spread', 'day_of_week']",2020-01-02 06:00:00,2026-08-11 20:00:00,2413,0,0,True,1800,99.56,364,75.5,345,19,0,0,0,0,0,0,0,2,0,2,5,1e-05,1.32109,1.34986,2.0,18.0,443.0,33.89,24,17,48.0,1718,PASS
NZDUSD,82189,"['time', 'open', 'high', 'low', 'close', 'volume', 'spread', 'day_of_week']",2020-01-02 06:00:00,2026-08-11 20:00:00,2413,0,0,True,1800,99.56,365,75.5,345,20,0,0,0,0,0,0,0,4,0,2,5,1e-05,0.67222,0.58785,5.0,20.0,390.0,18.82,24,17,48.0,1718,PASS
US30,75896,"['time', 'open', 'high', 'low', 'close', 'volume', 'spread', 'day_of_week']",2020-01-02 08:00:00,2026-08-11 20:00:00,2413,0,0,True,1800,97.79,1678,1324.0,338,1340,0,0,0,0,0,0,0,32,0,15,1,0.1,28613.5,53859.0,120.0,300.0,3420.0,0.52,24,0,46.0,1671,WARNING
USDCAD,82177,"['time', 'open', 'high', 'low', 'close', 'volume', 'spread', 'day_of_week']",2020-01-02 06:00:00,2026-08-11 20:00:00,2413,0,0,True,1800,99.56,363,75.5,345,18,0,0,0,0,0,0,0,4,0,3,5,1e-05,1.29872,1.39215,3.0,22.0,330.0,25.21,24,17,48.0,1718,PASS
USDJPY,82178,"['time', 'open', 'high', 'low', 'close', 'volume', 'spread', 'day_of_week']",2020-01-02 06:00:00,2026-08-11 20:00:00,2413,0,0,True,1800,99.56,363,75.5,345,18,0,0,0,0,0,0,0,1,0,2,3,0.001,108.721,159.336,1.0,13.0,335.0,42.93,24,17,48.0,1719,PASS
XAGUSD,78409,"['time', 'open', 'high', 'low', 'close', 'volume', 'spread', 'day_of_week']",2020-01-02 06:00:00,2026-08-11 20:00:00,2413,0,0,True,1800,98.01,1561,76.5,345,1216,0,0,0,0,0,0,0,67,0,8,3,0.001,17.847,64.775,12.0,32.0,400.0,5.52,24,0,46.0,1707,WARNING
XAUUSD,77851,"['time', 'open', 'high', 'low', 'close', 'volume', 'spread', 'day_of_week']",2020-01-02 06:00:00,2026-08-11 17:00:00,2413,0,0,True,1800,97.8,1716,76.5,345,1371,0,0,0,0,0,0,0,9,0,1,2,0.01,1519.81,4384.67,5.0,18.0,319.0,7.37,24,16,46.0,1706,WARNING
