phase,variant,n,expR,tstat,pos11
P1,OR2bar_SL1.0atr,11378,-0.1306908068201793,-10.242631913704034,2
P1,OR2bar_SL1.5atr,11263,-0.09923052426954682,-7.660479404139918,3
P1,OR2bar_SL2.0atr,10870,-0.07642398465738393,-5.768160583643144,3
P1,OR4bar_SL1.0atr,11348,-0.12918575960521678,-10.106147510574628,1
P1,OR4bar_SL1.5atr,11168,-0.08981344554259887,-6.886306330474136,2
P1,OR4bar_SL2.0atr,10664,-0.06467557220718732,-4.823009680977432,2
P1,OR6bar_SL1.0atr,11242,-0.09990971505627311,-7.706032158972,2
P1,OR6bar_SL1.5atr,10926,-0.07095210320169687,-5.351520527127675,2
P1,OR6bar_SL2.0atr,10188,-0.04386238275811877,-3.1850424437616636,3
P2,donchian_10,17432,-0.03311883448298089,-3.168653413708831,3
P2,donchian_20,15918,-0.04382297929765758,-4.014879759104794,3
P2,donchian_40,12242,-0.017882689440576704,-1.4295618502256124,3
P3,pull0.25atr_SL1.0,20743,-0.1081846983106278,-11.365230394643905,0
P3,pull0.25atr_SL1.5,14985,-0.06290590011821265,-5.554740891384334,1
P3,pull0.25atr_SL2.0,11594,-0.03983315526456448,-3.1119480410401024,2
P3,pull0.5atr_SL1.0,28054,-0.0983280450450443,-11.975515211086355,0
P3,pull0.5atr_SL1.5,18647,-0.060292166421567546,-5.936320679526933,1
P3,pull0.5atr_SL2.0,13491,-0.032151189950634054,-2.705294815260501,2
P3,pull1.0atr_SL1.0,37056,-0.08670978227741158,-12.093916541747515,0
P3,pull1.0atr_SL1.5,22431,-0.060753272032817544,-6.563416922916828,1
P3,pull1.0atr_SL2.0,15343,-0.035933860250572616,-3.2345367563117353,5
